pitch;yaw;velocity
3.56548e+21;7.15452e+20;-1.42331e+20
5.2345e+21;-1.40328e+19;-4.56349e+20
1.37265e+22;2.12048e+20;-5.72524e+20
1.54997e+22;-8.56914e+20;-1.09692e+21
8.93115e+21;-2.597e+21;-9.36962e+20
1.25695e+22;-4.25788e+21;-8.95992e+19
3.44023e+22;-4.36972e+21;8.17914e+20
5.93856e+22;-4.76482e+21;1.31891e+21
1.12485e+23;-4.75682e+21;-1.87316e+21
7.24186e+22;-2.4786e+22;2.42329e+21
5.25728e+22;-2.22347e+22;1.89251e+20
2.67556e+22;-2.15956e+22;-1.39985e+21
2.25102e+22;-2.32913e+22;-1.4737e+22
-6.65007e+22;-4.6363e+22;-1.20627e+22
4.55467e+22;-9.09148e+22;-2.53703e+22
-1.11579e+23;6.09404e+21;7.94087e+21
-4.50146e+23;-1.3169e+23;1.37559e+21
-8.07767e+20;-3.49441e+23;2.12149e+22
-2.44094e+22;-5.1159e+23;1.45245e+23
4.04048e+23;-5.8656e+22;1.31061e+23
9.11139e+23;-4.40419e+23;2.66719e+23
1.9205e+24;-7.25387e+23;2.58976e+23
-7.15267e+23;-1.60134e+24;6.39283e+21
-3.33249e+24;-3.82499e+24;3.50407e+23
-1.20055e+25;-8.21421e+24;5.80536e+22
-9.03745e+24;-8.62601e+24;6.6341e+23
-6.25954e+24;-8.78247e+24;-1.50941e+23
-2.37039e+25;1.21073e+24;-2.60924e+23
-4.27534e+25;1.01987e+24;2.46273e+23
-3.24896e+25;2.24656e+25;-3.69364e+24
-1.33656e+25;-9.95025e+24;1.41008e+24
-6.83777e+25;-2.9497e+24;3.47677e+23
-9.5646e+25;-5.04732e+25;-6.22152e+24
-3.4465e+26;-1.00243e+26;-1.39677e+25
-3.58041e+26;-9.06579e+24;-6.98029e+24
-2.84389e+26;5.4096e+25;1.27798e+25
-2.41496e+25;-1.31263e+25;1.149e+25
-8.77381e+25;2.74501e+26;2.13541e+25
2.12703e+25;1.39778e+26;1.69768e+25
2.70943e+26;-1.74247e+26;1.74712e+25
6.07674e+26;1.46059e+25;-5.01066e+25
8.14908e+26;-6.60621e+26;-2.22929e+25
2.04493e+27;7.22268e+25;-1.72688e+25
5.87172e+27;-8.57061e+26;-2.2186e+26
3.68398e+27;-1.8865e+25;8.08288e+25
-1.91283e+26;1.4736e+27;5.15254e+26
3.35468e+27;-1.3704e+27;3.73053e+26
2.6999e+26;1.31791e+27;1.31084e+27
-8.49464e+27;6.03529e+27;3.98959e+27
-2.83462e+28;-1.40694e+28;5.98587e+27
-2.96216e+28;-1.15567e+28;4.76717e+27
-5.60111e+28;-9.95891e+27;3.27999e+27
-3.43785e+28;-1.06789e+28;6.5623e+27
-1.00939e+29;-1.15983e+28;1.59186e+27
-4.88969e+28;3.07977e+28;1.86897e+28
-2.73038e+28;-8.87043e+28;2.08802e+28
-2.1396e+29;-2.07639e+28;-3.8317e+27
-2.5619e+29;-6.48142e+27;3.13128e+28
-1.44732e+29;1.94928e+29;2.92399e+28
-7.60601e+29;3.39682e+28;9.96795e+27
-4.30572e+29;-1.06553e+29;3.72221e+28
1.0742e+30;-5.80299e+29;4.54514e+28
2.15668e+30;-6.57854e+29;1.0848e+29
1.11953e+30;-5.32104e+29;1.42847e+29
-1.62075e+30;-6.88557e+29;-7.12499e+28
3.94494e+30;-4.02052e+30;8.34904e+29
9.59851e+30;-4.81298e+30;7.539e+29
3.69015e+30;-3.40984e+30;1.71301e+30
-2.07541e+30;-7.17368e+30;2.23919e+30
-4.1671e+30;-2.7222e+30;9.04604e+29
-6.17489e+30;-1.66579e+31;3.31684e+30
6.07452e+30;8.81728e+29;-4.58679e+30
-3.10778e+31;3.62559e+31;-8.32946e+30
-5.05818e+31;6.50666e+31;-9.28973e+30
1.83387e+31;1.63367e+31;-9.99065e+30
9.27139e+31;1.86605e+31;-1.174e+31
4.30175e+32;3.02307e+31;-1.19167e+31
2.63332e+32;1.48837e+32;7.56657e+30
2.5696e+32;-3.90771e+29;-3.29124e+31
-2.36542e+31;2.82001e+32;3.11387e+31
-4.92949e+32;5.12899e+32;8.41091e+31
-1.15365e+32;4.61553e+32;1.28217e+32
1.28053e+33;9.23674e+32;1.14395e+32
4.14739e+33;9.71389e+32;1.31244e+31
3.71417e+33;3.71287e+32;-1.71778e+32
2.49784e+33;-1.66095e+32;-3.38813e+32
-4.25964e+33;3.12479e+32;-5.77044e+32
-4.6428e+33;1.38204e+33;-8.61059e+32
6.95024e+33;2.4138e+33;3.36647e+32
1.03798e+33;-3.75276e+33;3.05663e+33
2.85409e+34;5.68468e+33;3.75293e+33
2.06728e+34;1.60256e+34;4.05805e+33
4.79313e+34;1.89143e+34;5.76599e+33
3.91828e+34;-8.85662e+33;-3.39006e+33
1.02826e+35;1.03707e+34;4.7654e+32
2.32816e+35;2.7125e+34;2.15637e+32
3.89397e+35;-1.18939e+34;-4.68647e+33
2.86901e+35;-9.24983e+34;-2.58216e+33
6.45137e+35;4.02245e+34;-2.78463e+34
3.67211e+35;1.81102e+35;-5.50726e+34
2.30644e+35;3.73946e+35;-1.25383e+35
7.50096e+35;3.12249e+35;-1.01128e+35
1.68547e+36;6.28872e+35;1.97605e+34
-1.34441e+36;7.92711e+35;6.9281e+34
-3.99954e+36;1.2801e+36;6.42694e+34
-2.66243e+36;6.46757e+35;-2.92276e+35
-7.62032e+36;-1.97022e+35;-4.24056e+35
-8.06099e+36;-2.488e+36;-1.61996e+35
-6.66681e+36;-3.09091e+36;5.11067e+35
1.19523e+37;-1.73564e+36;4.7724e+35
